Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
FUTURA ECOLOGICO B.AGUA PRETO FOSCO 3,6 LT;001495;FUTURA;TINTA ESMALTE ;6;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUNDO PREPARADOR P/PINTURA 16 LT;001373;FUTURA;Complementos e Preparação;6;BD;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.ACETINADO BRANCO 900 ML;001776;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO AZUL DEL REY;002709;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO CINZA ESCURO 3,6 LT SOLVENTE;001621;FUTURA;TINTA ESMALTE ;6;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO LARANJA;002568;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO MAR.CONHAQUE 900ML;002567;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO PLATINA 3,6 LT;001844;FUTURA;TINTA ESMALTE ;6;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO PRETO 900 ML;001773;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO VERDE FOLHA;002656;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO VERMELHO;002569;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.FOSCO BRANCO 900 ML;001775;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.FOSCO PRETO 900 ML;001774;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT MAIS PREMIUM FOSCO BRANCO;002577;FUTURA;TINTA ESMALTE ;6;QT;Ativo;32081010;
FUTURA MASSA ACRILICA GL 5,8 KG;001420;FUTURA;Complementos e Preparação;6;UN;Ativo;32141020;TRIBUTADO (CSOSN 102)
MAXI RUBBER WASH PRIMER 600ML;000578;Maxi Rubber;Linha Automotiva;6;QT;Ativo;32082019;TRIBUTADO (CSOSN 102)
SPRAY DSCOLOR USO GERAL 400ML / BRANCO PRIMER 50535;002471;;;6;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / CINZA FUNDO PRIMER 50537;002472;;;6;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SUV ESM PRETO FOSCO 900 ML AGUA;001226;;;6;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
"TRINCHA TIGRE 696 MEDIA 1.1/2"" BCA. VERNIZ/STAIN";002499;;;6;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
AFFATON - AMARELO B1 (FR);002722;Coral;Utilidades;5;UN;Ativo;32041700;NÃO TRIBUTADO (CSOSN 400)
AFFATON - MARROM UMBRIA Z12 (FR);002725;Coral;Utilidades;5;UN;Ativo;32064990;NÃO TRIBUTADO (CSOSN 400)
AFFATON - PRETO R9 (FR);002718;Coral;Utilidades;5;UN;Ativo;32064990;NÃO TRIBUTADO (CSOSN 400)
ANJO DILUENTE P/ VERNIZES AMAZONIA 5 LTS;001592;;;5;UN;Ativo;27101230;TRIBUTADO (CSOSN 102)
ATLAS DISCO ABRASIVO FLAP 115MM G40 OX ALUMIN AT24/40;001461;;;5;UN;Ativo;68053090;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA CABO MADEIRA ACO INOX 10CM 6155/16;001252;;;5;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS FIBRA ABRASIVA MADEIRA 115X290MM AT95/20;001332;;;5;UN;Ativo;68053090;TRIBUTADO (CSOSN 102)
ATLAS MASCARA DE FELTRO PFF2 S/ VAL. AT2700;001465;;;5;UN;Ativo;63079010;TRIBUTADO (CSOSN 102)
BASE T - CORALIT AB ULTRA RES 800M 02.23.052;002698;;;5;QT;Ativo;32089010;NÃO TRIBUTADO (CSOSN 400)
CORAL RENOVA TETO BANHEIRO & COZINHA FO 3,6 GL;000561;Coral;TINTA ACRILICA;5;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
CORALIT SR BR BRANCO 3 L;002690;Coral;TINTA ESMALTE ;5;GL;Ativo;32081010;
