   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ATLAS LIXA TELADA DISCO 150 GRAO 240 AT13/240;000092;7896380108541;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 320 AT13/320;000093;7896380108558;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 400 AT13/400;000094;7896380108565;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 500 AT13/500;000095;7896380196005;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 600 AT13/600;000096;7896380108572;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 80 AT13/80;000194;7896380108077;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 800 AT13/800;000097;7896380195992;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 120 AT21/120;000192;7896380109906;Ativo;7,3400; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 150 AT21/150;000085;7896380109913;Ativo;6,9000; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 180 AT21/180;000086;7896380109920;Ativo;7,3400; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 220 AT21/220;000087;7896380109937;Ativo;7,3400; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 240 AT21/240;000193;7896380109944;Ativo;6,9000; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 320 AT21/320;000088;7896380109951;Ativo;7,3400; por UN
;ATLAS LIXA TELADA DISCO 180 GRAO 80 AT21/80;000002;7896003894479;Ativo;7,3400; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 120 AT14/120;000079;7896380108121;Ativo;9,0000; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 150 AT14/150;000080;7896380108138;Ativo;9,0000; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 180 AT14/180;000081;7896380108145;Ativo;9,0000; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 220 AT14/220;000082;7896380108152;Ativo;9,0000; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 240 AT14/240;000083;7896380108169;Ativo;900,0000; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 320 AT14/320;000084;7896380108176;Ativo;900,0000; por UN
;ATLAS LIXA TELADA DISCO 225 GRAO 80 AT14/80;000078;7896003894448;Ativo;8,4600; por UN
;ATLAS LUVA BANHADA EM PU EG AT1304EG;001833;7896380108800;Ativo;14,2300; por UN
;ATLAS LUVA BANHADA EM PU G AT1304G;001644;7896380108794;Ativo;14,1700; por UN
;ATLAS LUVA BANHADA EM PU M AT1304M;001927;7896380108787;Ativo;14,2300; por UN
;ATLAS LUVA DE ALGODAO PIGMENTADA EG 1303EG;001645;7896380108770;Ativo;12,6300; por UN
;ATLAS LUVA DE ALGODAO PIGMENTADA G AT1303G;001646;7896380108763;Ativo;12,6300; por UN
;ATLAS LUVA DE ALGODAO PIGMENTADA M AT1303M;001647;7896380108756;Ativo;12,6300; por UN
;ATLAS MASCARA DE FELTRO PFF2 C/ VAL. REF: AT2800;001466;7896380195275;Ativo;6,6000; por UN
;ATLAS MASCARA DE FELTRO PFF2 C/VALVULA CARVAO AT2600;001467;7896380102440;Ativo;14,0500; por UN
;ATLAS MASCARA DE FELTRO PFF2 S/ VAL. AT2700;001465;7896380195268;Ativo;5,1800; por UN
;ATLAS MISTURADOR MANUAL AT176/3;000310;7896380100743;Ativo;40,0700; por UN
;ATLAS MISTURADOR 176/1 40CM;001430;7896380101467;Ativo;40,0700; por UN
;ATLAS MISTURADOR 176/2 60CM;000125;7896380101474;Ativo;63,9900; por UN
;ATLAS NIVEL METALICO C/ IMA 10 AT182/10;001871;7896380110308;Ativo;40,3300; por UN
;ATLAS NIVEL METALICO C/ IMA 12 AT182/12;001872;7896380110315;Ativo;47,3300; por UN
;ATLAS NIVEL METALICO C/ IMA 14 AT182/14;001873;7896380110322;Ativo;48,5500; por UN
;ATLAS NIVELOPRO 25CM AT933/25;000276;7896380195503;Ativo;83,0500; por UN
;ATLAS NIVELOPRO 40CM AT933/40;000277;7896380195527;Ativo;113,7400; por UN
;ATLAS NIVELOPRO 60CM AT633;000309;7896003894608;Ativo;524,9900; por UN
;ATLAS NIVELOPRO 60CM AT933/60;000278;7896380195541;Ativo;150,0700; por UN
;ATLAS NIVELOPRO 80CM AT933/80;000279;7896380195565;Ativo;164,8200; por UN
;ATLAS OCULOS DE PROTECAO CINZA AT3300/2;001821;7896380140701;Ativo;14,6400; por UN
;ATLAS OCULOS DE PROTECAO INCOLOR AT3300/1;001820;7896380140695;Ativo;14,6400; por UN
;ATLAS PAD C/ CABO AJUSTAVEL  AT750/80;001434;7896380105168;Ativo;38,0800; por UN
;ATLAS PAD DE CANTOS C/ REFIL AT750/60;001648;7896380105151;Ativo;24,8800; por UN
