   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ANJO MAIS ACR. PRE. LINHO EGIPCIO FOSCA 3,6 LT;001955;7898530465221;Inativo;1,0000; por UN
;ANJO MAIS PRE. ERVA DOCE FOSCA 18 LT;001898;7898530468970;Inativo;1,0000; por UN
;ANJO MAIS PRE. GELO FOSCA 18 LT;001893;7898530468055;Inativo;1,0000; por UN
;ANJO MAIS PRE. LINHO EGIPCIO FOSCA 18 LT;001897;7898530465245;Inativo;1,0000; por UN
;ANJO MAIS PRE. PRATA FOSCA 18 LT;001896;7899917136819;Inativo;1,0000; por UN
;ANJO MAIS PRE. TANGERINA FOSCA 18 LT;001895;7898530468444;Inativo;1,0000; por UN
;ANJO MAIS PRE. TERRACOTA FOSCA 18 LT;001894;7898530469038;Inativo;1,0000; por UN
;ANJO MANTA LIQUIDA EMBORRACHADA 12 KG;001812;7899917138158;Inativo;1,0000; por UN
;ANJO MASSA ACRILICA 1,4 KG;000044;7899917147211;Inativo;1,0000; por QT
;ANJO MASSA ACRILICA 23 KG;001736;7899917147242;Inativo;1,0000; por UN
;ANJO MASSA ACRILICA 6 KG;000043;7898530466426;Inativo;1,0000; por GL
;ANJO MASSA CORRIDA GL 6 KG;001852;7898530466457;Inativo;1,0000; por UN
;ANJO MASSA CORRIDA 1,4 KG;001957;7899917147198;Inativo;1,0000; por QT
;ANJO MASSA CORRIDA 23 KG;001735;7899917147235;Inativo;1,0000; por UN
;ANJO MASSA P/ PEQUENOS REPAROS 200 GR;001991;7899917138974;Inativo;1,0000; por UN
;ANJO MASSA POLIESTER OCTANO FV FIBRA DE VIDRO 750 GR;001998;7899917138219;Inativo;1,0000; por UN
;ANJO MASSA POLIESTER REVOLUTION GT5000 750G;002067;7899917157197;Inativo;1,0000; por UN
;ANJO MASSA POLIESTER REVOLUTION 1KG;002068;7899917146443;Inativo;1,0000; por UN
;ANJO METALSHIELD BRANCO BR 2,4L;001743;7899917138318;Inativo;1,0000; por UN
;ANJO METALSHIELD CINZA BR 2,4L;001744;7899917138394;Inativo;1,0000; por UN
;ANJO METALSHIELD PRETO BR 2,4L;001745;7899917138431;Inativo;1,0000; por UN
;ANJO PINTA DECK NAT. SEMIBRILHO 900 ML;001604;7899917156107;Ativo;59,9900; por QT
;ANJO PINTA DECK NATURAL SEMIBRILHO 3,6 LTS;001616;7899917153410;Ativo;226,4900; por GL
;ANJO PISO BLINDADO BRANCO PU POLIDO 10 LT;001967;7899917151232;Inativo;1,0000; por UN
;ANJO PISO BLINDADO CINZA N6,5 PU POLIDO 10L;001878;7899917151249;Inativo;1,0000; por UN
;ANJO PISO BLINDADO COMPONENTE B 2,5L;001879;7899917151287;Inativo;1,0000; por UN
;ANJO PISO BLINDADO COMPONENTE B 400 ML;001699;7899917151195;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAF. VERNIZ PU ANTIDERRAPANTE 2,4 LT;001965;7899917153632;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO AMARELO DEMA. BASE AGUA 16L;001857;7899917150730;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO AMARELO DEMA. BASE AGUA 3,6L;001858;7899917150716;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO AZUL BASE AGUA 16L;001855;7899917150761;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO AZUL BASE AGUA 3,6L;001963;7899917150747;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO BRANCO AGUA 16 LT;001985;7899917150679;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO BRANCO BASE AGUA 3,6L;001856;7899917150655;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO BRANCO PU POLIDO 2,4L;001698;7899917151126;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CINZA CHUMBO BASE AGUA 16L;001692;7899917150822;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CINZA CHUMBO BASE AGUA 3,6L;001693;7899917150808;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CINZA CLARO BASE AGUA 16L;001694;7899917150853;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CINZA CLARO BASE AGUA 3,6L;001695;7899917150839;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CINZA N6,5 PU POLIDO 2,4L;001701;7899917151140;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CONCRETO BASE AGUA 16L;001696;7899917150792;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO CONCRETO BASE AGUA 3,6L;001697;7899917150778;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO MARROM BASE AGUA 3,6L;001930;7899917150860;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO PRETO BASE AGUA 16L;001929;7899917150914;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO PRETO BASE AGUA 3,6L;001853;7899917150891;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO VERDE BASE AGUA 16L;001859;7899917151034;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO VERDE BASE AGUA 3,6L;001964;7899917151010;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO VERMELHO SEG. BASE AGUA 16L;001854;7899917151003;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO VERMELHO SEG. BASE AGUA 3,6L;001962;7899917150983;Inativo;1,0000; por UN
;ANJO PISO BLINDADO GRAFENO VERNIZ PU POLIDO 2,4L;001700;7899917151263;Inativo;1,0000; por UN
;ANJO PRIMER EPOXI PDA CLASSICO CINZA CLARO FSC 3:1 2,7 LT;002031;7899917136086;Inativo;1,0000; por UN
;ANJO QUEROSENE 900 ML;001980;7898025465248;Inativo;22,3800; por UN
;ANJO REMOVEDOR PASTOSO 1KG;001746;7899917128104;Inativo;28,0100; por UN
;ANJO REMOVEDOR PASTOSO 3,6 KG;001747;7899027702294;Inativo;93,0200; por UN
;ANJO RESINA BASE AGUA INCOLOR BR 3,6 LTS;000045;7899917143930;Inativo;1,0000; por GL
;ANJO RESINA MULTIUSO BASE SOLVENTE INCOLOR BRILHANTE 3,6 LT;002070;7898025460892;Inativo;1,0000; por UN
;ANJO SELADOR ACRILICO PIGMENTADO 18 LT BALDE;001709;7899917137335;Inativo;1,0000; por UN
;ANJO SELADOR ACRILICO PIGMENTADO 3,6 GL;001691;7898025465675;Inativo;1,0000; por UN
;ANJO SELADOR EPOXI 1:1 3,6L;001662;7899917136147;Inativo;1,0000; por UN
;ANJO SELADOR PARA PLASTICO 450 ML;001997;7899917148775;Inativo;1,0000; por UN
;ANJO SELADORA P/ MADEIRAS. 3,6 LTS;001617;7899917155834;Inativo;1,0000; por UN
;ANJO SELADORA P/ MADEIRAS 900 ML;001600;7899917155810;Inativo;1,0000; por UN
;ANJO SPRAY ALTA TEMPERATURA ALUMINIO 400 ML;002032;7899917152574;Inativo;1,0000; por UN
;ANJO SPRAY ALTA TEMPERATURA BRANCO FSC 400 ML;002033;7899917152598;Inativo;1,0000; por UN
;ANJO SPRAY ALTA TEMPERATURA PRETO FSC 400 ML;002034;7899917152611;Inativo;1,0000; por UN
;ANJO SPRAY LUMINOSA AMARELO 400 ML;002035;7899917152635;Inativo;1,0000; por UN
;ANJO SPRAY LUMINOSA LARANJA 400 ML;002036;7899917152659;Inativo;1,0000; por UN
;ANJO SPRAY LUMINOSA PINK 400 ML;002037;7899917152673;Inativo;1,0000; por UN
;ANJO SPRAY LUMINOSA VERDE 400 ML;002038;7899917152390;Inativo;1,0000; por UN
;ANJO SPRAY METALICA ALUMINIO PARA RODAS 400 ML;002040;7899917152192;Ativo;20,0000; por UN
;ANJO SPRAY METALICA ALUMINIO 400 ML;002039;7899917152772;Inativo;1,0000; por UN
;ANJO SPRAY METALICA CROMADO 400 ML;002041;7899917152413;Inativo;1,0000; por UN
;ANJO SPRAY METALICA DOURADA 400 ML;002042;7899917152710;Inativo;1,0000; por UN
